roll_no,ktsem1,ktsem2,ktsem3,ktsem4,result
0801IT221126,0,0,1,2,Can Go To Next Sem
0801IT221127,0,0,1,0,Can Go To Next Sem
0801IT221130,0,0,1,1,Can Go To Next Sem
0801IT221137,0,0,0,1,Can Go To Next Sem
0801IT221142,0,0,1,1,Can Go To Next Sem
0801IT221153,0,0,1,1,Can Go To Next Sem
0801IT221154,0,0,0,3,Can Go To Next Sem
0801IT221160,0,0,0,3,Can Go To Next Sem
0801IT221164,0,0,0,1,Can Go To Next Sem
0801IT223D05,0,0,0,2,Can Go To Next Sem
0801IT223D06,0,0,0,1,Can Go To Next Sem
0801IT233D05,0,0,1,0,Can Go To Next Sem
0801IT233D06,0,0,0,1,Can Go To Next Sem
0801IT233D07,0,0,5,5,SEM BACK
0801IT233D08,0,0,4,3,SEM BACK
0801IT233D09,0,0,1,0,Can Go To Next Sem
0801IT233D10,0,0,0,1,Can Go To Next Sem
0801IT233D11,0,0,1,1,Can Go To Next Sem
0801IT233D12,0,0,1,0,Can Go To Next Sem
0801ME201013,0,0,0,1,Can Go To Next Sem
0801ME201067,0,0,0,4,Can Go To Next Sem
0801ME211020,0,0,0,1,Can Go To Next Sem
0801ME211022,0,0,2,2,Can Go To Next Sem
0801ME211035,0,0,5,6,SEM BACK
0801ME211038,0,0,4,1,Can Go To Next Sem
0801ME211044,0,0,5,5,SEM BACK
0801ME211053,0,0,2,3,Can Go To Next Sem
0801ME211066,0,0,1,2,Can Go To Next Sem
0801ME211067,0,0,0,4,Can Go To Next Sem
0801ME211079,0,0,5,3,SEM BACK
0801ME211099,0,0,1,1,Can Go To Next Sem
0801ME213D09,0,0,0,2,Can Go To Next Sem
0801ME221003,0,0,1,0,Can Go To Next Sem
0801ME221004,0,0,0,3,Can Go To Next Sem
0801ME221010,0,0,1,4,Can Go To Next Sem
0801ME221012,0,0,0,2,Can Go To Next Sem
0801ME221014,0,0,0,2,Can Go To Next Sem
0801ME221015,0,0,0,2,Can Go To Next Sem
0801ME221018,0,0,0,4,Can Go To Next Sem
0801ME221020,0,0,0,2,Can Go To Next Sem
0801ME221021,0,0,1,3,Can Go To Next Sem
0801ME221023,0,0,0,2,Can Go To Next Sem
0801ME221024,0,0,0,1,Can Go To Next Sem
0801ME221032,0,0,0,4,Can Go To Next Sem
0801ME221034,0,0,0,1,Can Go To Next Sem
0801ME221038,0,0,4,6,SEM BACK
0801ME221039,0,0,2,2,Can Go To Next Sem
0801ME221040,0,0,0,3,Can Go To Next Sem
0801ME221041,0,0,0,1,Can Go To Next Sem
0801ME221047,0,0,0,1,Can Go To Next Sem
0801ME221049,0,0,4,1,Can Go To Next Sem
0801ME221051,0,0,0,1,Can Go To Next Sem
0801ME221055,0,0,1,0,Can Go To Next Sem
0801ME221056,0,0,0,1,Can Go To Next Sem
0801ME221057,0,0,0,1,Can Go To Next Sem
0801ME221059,0,0,2,3,Can Go To Next Sem
0801ME221060,0,0,1,0,Can Go To Next Sem
0801ME221064,0,0,0,2,Can Go To Next Sem
0801ME221071,0,0,0,1,Can Go To Next Sem
0801ME221073,0,0,0,2,Can Go To Next Sem
0801ME221077,0,0,3,4,SEM BACK
0801ME221078,0,0,0,2,Can Go To Next Sem
0801ME221080,0,0,2,3,Can Go To Next Sem
0801ME221081,0,0,0,6,SEM BACK
0801ME221083,0,0,0,4,Can Go To Next Sem
0801ME221088,0,0,0,2,Can Go To Next Sem
0801ME221091,0,0,0,1,Can Go To Next Sem
0801ME221092,0,0,0,5,Can Go To Next Sem
0801ME221097,0,0,1,4,Can Go To Next Sem
0801ME221101,0,0,0,5,Can Go To Next Sem
0801ME221103,0,0,0,4,Can Go To Next Sem
0801ME221104,0,0,0,3,Can Go To Next Sem
0801ME221105,0,0,0,1,Can Go To Next Sem
0801ME221109,0,0,0,1,Can Go To Next Sem
0801ME221110,0,0,0,1,Can Go To Next Sem
0801ME221111,0,0,8,1,SEM BACK
0801ME221117,0,0,0,1,Can Go To Next Sem
0801ME223D03,0,0,3,2,Can Go To Next Sem
0801ME223D06,0,0,0,1,Can Go To Next Sem
0801ME233D04,0,0,0,4,Can Go To Next Sem
0801ME233D05,0,0,2,3,Can Go To Next Sem
0801ME233D08,0,0,2,2,Can Go To Next Sem
